pmid,title,journal,pubdate,fetched_at,topic_category,relevance_score,summary,keywords,model_name,prompt_version,processed_at
41551188,Progress in exercise interventions for autism spectrum disorder: exploring underlying mechanisms.,Frontiers in psychiatry,2025,2026-01-20 18:14:20.987407+00:00,other,5,"This paper reviews the impact of physical activity on individuals with autism spectrum disorder (ASD), highlighting its role in alleviating symptoms and influencing underlying neurobiological mechanisms. Key findings include the modulation of neuronal factors, glial cells, and gut microbiota as crucial elements of the intervention's effectiveness.","['autism', 'physical activity', 'neurobiology', 'intervention', 'mental health', 'social skills', 'exercise', 'symptom relief']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41547405,Xiaochaihu Decoction Alleviates Chronic Stress-Induced Depressive-Like Behavior in Mice by Modulating the Gut Microbiota-Brain Axis.,Behavioural brain research,2026 Jan 15,2026-01-20 18:14:20.987407+00:00,other,10,"The study investigates the effects of Xiaochaihu Decoction (XCHD) on chronic stress-induced depressive-like behavior in mice, highlighting its role in modulating the gut microbiota-brain axis. Results indicate that XCHD improves depressive symptoms, neuroplasticity, and reduces inflammation, suggesting its potential as a therapeutic approach for depression.","['Xiaochaihu Decoction', 'depression', 'chronic stress', 'gut microbiota', 'neuroplasticity', 'inflammation', 'mouse model', 'mental health']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41543332,Gramineae Wheat Germ Extract Ameliorates Methylglyoxal-Induced Neurobehavioral Deficits Through Modulation of the Gut Microbiota and Tryptophan Metabolism.,Molecular nutrition & food research,2026 Jan,2026-01-20 18:14:20.987407+00:00,other,5,"This study explores the neuroprotective effects of wheat germ extract (WGE) on neurobehavioral deficits induced by methylglyoxal in mice, emphasizing the role of gut microbiota and tryptophan metabolism. WGE improved learning and reduced anxiety while reshaping gut microbiota composition, suggesting potential strategies for neurodegenerative disease prevention.","['wheat germ extract', 'neuroprotection', 'gut microbiota', 'methylglyoxal', 'tryptophan metabolism', 'neurodegeneration', 'mouse model', 'spatial learning', 'anxiety']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41541603,Pathophysiological Mechanisms and Nonpharmacological Interventions in Irritable Bowel Syndrome: Current Insights and Future Directions.,Journal of nutrition and metabolism,2026,2026-01-20 18:14:20.987407+00:00,other,0,"This paper explores the pathophysiological mechanisms of irritable bowel syndrome (IBS) and discusses nonpharmacological interventions aimed at alleviating symptoms. It highlights the role of gut microbiome diversity, stress management, and dietary modifications in addressing the condition, which has significant impacts on patients' quality of life.","['Irritable bowel syndrome', 'gut-brain axis', 'nonpharmacological interventions', 'microbiome', 'stress management', 'dietary factors', 'symptom relief', 'chronic stress']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41537394,"Effect of Puerarin on Chronic Alcoholic Encephalopathy by Modulating the ""Microbiota-Gut-Brain Axis"" Lipopolysaccharides/Toll-Like Receptors 4/Nuclear Factor Kappa-B Inflammatory Pathway.",Phytotherapy research : PTR,2026 Jan 15,2026-01-20 18:14:20.987407+00:00,other,10,"The study investigates the effects of puerarin on chronic alcoholic encephalopathy (CAE), showing that it significantly improves cognitive and motor functions while reducing neuroinflammation and restoring intestinal barrier integrity. Puerarin modulates the microbiota-gut-brain axis, impacting inflammatory pathways associated with CAE.","['puerarin', 'chronic alcoholic encephalopathy', 'microbiota-gut-brain axis', 'neuroinflammation', 'intestinal barrier', 'motor function', 'cognitive function', 'inflammatory pathways', 'brain health']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41535300,A novel synbiotic (SCM06) for anxiety and sensory hyperresponsiveness in children with autism spectrum disorder: an open-label pilot study.,NPJ biofilms and microbiomes,2026 Jan 14,2026-01-20 18:14:20.987407+00:00,other,5,"This study investigates the effectiveness of a novel synbiotic, SCM06, in alleviating anxiety and sensory hyperresponsiveness in children with autism spectrum disorder (ASD). Over 12 weeks, significant improvements were noted in symptoms and gut microbiota composition, suggesting a potential link between gut health and behavioral outcomes in ASD.","['synbiotic', 'autism', 'anxiety', 'microbiota', 'pilot study']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41535289,Impact of a single fecal microbiome transplantation in adult women with anorexia nervosa: an open-label feasibility pilot trial.,Nature communications,2026 Jan 14,2026-01-20 18:14:20.987407+00:00,other,0,"This study explores the feasibility of fecal microbiota transplantation (FMT) to alter gut microbiota in adult women with anorexia nervosa (AN). Results indicate significant shifts in gut microbiota composition after FMT, although no notable changes were observed in psychopathological measures or appetite-related biomarkers.","['anorexia nervosa', 'fecal microbiota transplantation', 'gut microbiota', 'mental disorder', 'feasibility', 'biomarkers', 'female participants', 'clinical trial', 'mental health']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41530758,5-HT2C receptors in the glutamatergic neurons of dorsal raphe nucleus orchestrate the comorbidity of pain and anxiety in mice.,BMC medicine,2026 Jan 13,2026-01-20 18:14:20.987407+00:00,other,0,This study investigates the role of 5-HT2C receptors in glutamatergic neurons of the dorsal raphe nucleus (DRN) concerning comorbid pain and anxiety in mice. It explores the underlying molecular mechanisms and suggests potential therapeutic targets based on the observed neuronal activity and receptor modulation in a pain-anxiety model.,"['pain', 'anxiety', '5-HT2C receptors', 'dorsal raphe nucleus', 'glutamatergic neurons', 'gut microbiota', 'comorbidity', 'mice', 'therapeutic targets']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41526018,Telehealth-delivered exercise and nutrition intervention to improve outcomes in patients with early stage non-small cell lung cancer: protocol for the multicentre STARLighT phase II (neoadjuvant) and phase III (adjuvant) trial.,BMJ open,2026 Jan 12,2026-01-20 18:14:20.987407+00:00,other,5,The STARLighT trial investigates the impact of a telehealth-delivered exercise and nutrition intervention on patients with early stage non-small cell lung cancer. It aims to provide solid evidence regarding improvements in clinical and patient-reported outcomes through a structured approach across multiple centres in Italy.,"['telehealth', 'exercise', 'nutrition', 'non-small cell lung cancer', 'clinical trial', 'patient outcomes', 'intervention', 'Italy']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41523964,What is the Impact of Dopamine D2 Receptor in the Brain-Gut Axis? A Narrative Review of the Mechanism Based on Gut Microbiota in Modulating Emotion and Behavior.,Alpha psychiatry,2025 Dec,2026-01-20 18:14:20.987407+00:00,other,10,"This narrative review examines the interaction between dopamine D2 receptors and gut microbiota within the brain-gut axis, particularly in relation to emotional and behavioral regulation. It highlights the role of short-chain fatty acids in influencing dopamine activity and the implications of gut microbiota imbalance on D2 receptor function in various psychiatric disorders.","['dopamine D2 receptor', 'gut microbiota', 'brain-gut axis', 'emotional regulation', 'psychiatric disorders', 'short-chain fatty acids', 'neuroscience', 'dysbiosis', 'behavioral modulation']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41519984,"Changes in gut, microbiome, and cognition after doxorubicin, cyclophosphamide, and paclitaxel chemotherapy treatment.",Scientific reports,2026 Jan 10,2026-01-20 18:14:20.987407+00:00,other,0,"The study investigates the effects of chemotherapy on cognition and gut health in a mouse model, revealing significant cognitive deficits and dysbiosis in the gut microbiome following treatment. Findings suggest alterations in gene expression related to neurogenesis and increased intestinal inflammation, highlighting the need for understanding long-term side effects of chemotherapy.","['chemotherapy', 'cognition', 'gut microbiome', 'dysbiosis', 'brain health', 'breast cancer', 'long-term effects', 'behavioral deficits', 'neurogenesis', 'inflammation']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41516336,Harnessing Dietary Tryptophan: Bridging the Gap Between Neurobiology and Psychiatry in Depression Management.,International journal of molecular sciences,2026 Jan 1,2026-01-20 18:14:20.987407+00:00,other,10,"The paper discusses the role of dietary tryptophan and its metabolites in managing major depressive disorder, highlighting the connection between metabolism, inflammation, and mood regulation. It reviews the potential of plant-derived compounds as integrative treatment strategies while emphasizing the need for further research on long-term efficacy and methodologies.","['tryptophan', 'depression', 'neurobiology', 'psychiatry', 'plant compounds', 'mood regulation', 'psychotherapy', 'diet', 'mental health']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41515464,Gingerol-Enriched Ginger Extract Effects on Anxiety-like Behavior in a Neuropathic Pain Model via Colonic Microbiome-Neuroimmune Modulation.,"Molecules (Basel, Switzerland)",2026 Jan 1,2026-01-20 18:14:20.987407+00:00,other,10,"This study examines the effects of gingerol-enriched ginger extract on anxiety-related behaviors and neurogenic changes in a neuropathic pain model, revealing positive modulation of neuroinflammatory and neuroplasticity genes. Findings suggest that GEG may influence the gut-brain axis through alterations in colonic microbiome composition, contributing to reduced anxiety behaviors in the context of neuropathic pain.","['gingerol', 'anxiety', 'neuroinflammation', 'gut microbiome', 'neuropathic pain', 'gene expression', 'neuroplasticity', 'SNL model', 'rat study', 'neurotransmission']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41508600,Getting Over It: Maternal Stress and Gut Microbiome Manipulations Do Not Affect Rates of Offspring Habituation During Long Bouts of Stress.,"Journal of experimental zoology. Part A, Ecological and integrative physiology",2026 Jan 8,2026-01-20 18:14:20.987407+00:00,other,0,"This study investigates the impact of maternal stress and microbiome manipulations on the aggressive behavior of offspring during competitive interactions. Findings indicate that offspring show reduced aggression over time, regardless of maternal treatment, suggesting that early developmental factors do not influence habituation in aggressive contexts.","['maternal stress', 'gut microbiome', 'offspring behavior', 'aggression', 'habituation', 'competitive interactions', 'Siberian hamsters']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41507168,Neuropeptide SP protects against colitis and linked anxiety-like behavior through the putative roles of gut microbiota and metabolite inositol.,Nature communications,2026 Jan 8,2026-01-20 18:14:20.987407+00:00,other,10,"This study investigates the effects of neuropeptide substance P (SP) on colitis and associated anxiety-like behavior, highlighting its role in improving gut microbiome regulation and reducing neuroinflammation. The research emphasizes the connection between gut health and psychiatric symptoms, suggesting that microbiota manipulation by SP can alleviate intestinal and behavioral disorders.","['neuropeptide', 'colitis', 'gut microbiome', 'inflammation', 'anxiety', 'microglia', 'NF-ÎºB', 'behavioral disorders']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
41504323,Gut Microbiota and Psychological Distress in Fibromyalgia: A Systematic Review.,Biopsychosocial science and medicine,2026 Jan 5,2026-01-20 18:14:20.987407+00:00,other,5,"This systematic review examines the connection between gut microbiota and psychological distress in fibromyalgia patients. It highlights significant differences in the microbiome composition of patients compared to healthy controls, with findings suggesting that dysbiosis may be linked to heightened psychological distress.","['gut microbiota', 'psychological distress', 'fibromyalgia', 'dysbiosis', 'gut-brain axis', 'systematic review', 'intestinal permeability', 'case-control', 'randomized controlled trials']",gpt-4o-mini,v1,2026-01-20 18:14:22.039559+00:00
