keyword,keyword_count
gut microbiota,6
anxiety,5
mental health,4
gut microbiome,4
inflammation,3
dysbiosis,3
brain health,2
neurobiology,2
gut-brain axis,2
chronic stress,2
neuroinflammation,2
neuroplasticity,2
clinical trial,2
depression,2
symptom relief,2
mouse model,2
exercise,2
intervention,2
autism,2
anorexia nervosa,1
psychiatric disorders,1
intestinal permeability,1
neuroscience,1
case-control,1
behavioral deficits,1
5-ht2c receptors,1
feasibility,1
competitive interactions,1
neurogenesis,1
short-chain fatty acids,1
comorbidity,1
irritable bowel syndrome,1
spatial learning,1
systematic review,1
italy,1
dietary factors,1
psychiatry,1
dopamine d2 receptor,1
biomarkers,1
cognitive function,1
plant compounds,1
chemotherapy,1
behavioral modulation,1
fibromyalgia,1
rat study,1
nutrition,1
puerarin,1
wheat germ extract,1
maternal stress,1
pain,1
neuroprotection,1
microbiota-gut-brain axis,1
synbiotic,1
microglia,1
neurodegeneration,1
breast cancer,1
mice,1
fecal microbiota transplantation,1
xiaochaihu decoction,1
inflammatory pathways,1
aggression,1
mood regulation,1
long-term effects,1
nonpharmacological interventions,1
gingerol,1
behavioral disorders,1
diet,1
neurotransmission,1
snl model,1
telehealth,1
motor function,1
social skills,1
dorsal raphe nucleus,1
colitis,1
psychological distress,1
therapeutic targets,1
cognition,1
physical activity,1
neuropeptide,1
microbiota,1
chronic alcoholic encephalopathy,1
gene expression,1
stress management,1
patient outcomes,1
intestinal barrier,1
randomized controlled trials,1
emotional regulation,1
female participants,1
siberian hamsters,1
psychotherapy,1
offspring behavior,1
mental disorder,1
brain-gut axis,1
pilot study,1
habituation,1
non-small cell lung cancer,1
tryptophan metabolism,1
neuropathic pain,1
tryptophan,1
nf-Îºb,1
microbiome,1
methylglyoxal,1
glutamatergic neurons,1
